direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note
forward,CRP,C-reactive protein measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),13,-0.16609551730389283,0.4505436732185333,0.7123843328206017,-1.049161116812218,0.7169700822044324,0.8469653304807508,0.3502314291700645,2.048217867643279,92.15894014471976,32.327196698420515,7.471028846423563,0.8249829904622431,0.0,-0.041504833210932596,0.6703145100629317,"Q=7.471, df=12"
forward,CRP,C-reactive protein measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),13,-0.16609551730389283,0.4505436732185333,0.7123843328206017,-1.049161116812218,0.7169700822044324,0.8469653304807508,0.3502314291700645,2.048217867643279,92.15894014471976,32.327196698420515,7.471028846423563,0.8249829904622431,0.0,-0.041504833210932596,0.6703145100629317,"Q=7.471, df=12"
forward,CRP,C-reactive protein measurement,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,13,0.2097530818276928,0.9703051709087205,0.8288534594634713,-1.6920450531533993,2.111551216808785,1.2333734800296703,0.1841425573483768,8.261046024046157,92.15894014471976,32.327196698420515,7.471028846423563,0.8249829904622431,0.0,-0.041504833210932596,0.6703145100629317,dispersion-adjusted
forward,CRP,C-reactive protein measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted median,13,0.19897957463507732,0.5926522035981998,0.737063727688019,-0.9626187444173944,1.360577893687549,1.2201570434924724,0.3818914991278903,3.8984455380236622,92.15894014471976,32.327196698420515,7.471028846423563,0.8249829904622431,0.0,-0.041504833210932596,0.6703145100629317,bootstrap n=1000
forward,CRP,C-reactive protein measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,13,0.09018757630461582,0.6778409196341559,0.8941528553716841,-1.23838062617833,1.4187557787875615,1.0943795441243471,0.28985321880735865,4.131976148223502,92.15894014471976,32.327196698420515,7.471028846423563,0.8249829904622431,0.0,-0.041504833210932596,0.6703145100629317,"phi=1.0, bootstrap n=1000"
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),4,0.12491475510922441,0.27029715567664564,0.643981915005078,-0.404867670017001,0.6546971802354499,1.1330518620677152,0.6670650777285639,1.9245596344312175,430.7785596184135,61.140632888142584,1.6918028806151264,0.6387577381893879,0.0,0.34210481120388964,0.504832164448977,"Q=1.692, df=3"
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),4,0.12491475510922441,0.27029715567664564,0.643981915005078,-0.404867670017001,0.6546971802354499,1.1330518620677152,0.6670650777285639,1.9245596344312175,430.7785596184135,61.140632888142584,1.6918028806151264,0.6387577381893879,0.0,0.34210481120388964,0.504832164448977,"Q=1.692, df=3"
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,4,-0.5963773859876832,0.9348055321998732,0.5234935567124346,-2.4285962290994347,1.2358414571240681,0.5508033742882223,0.08816050290822353,3.4412729864202274,430.7785596184135,61.140632888142584,1.6918028806151264,0.6387577381893879,0.0,0.34210481120388964,0.504832164448977,dispersion-adjusted
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted median,4,0.07986412139389996,0.2686747182482657,0.7662740563480793,-0.44673832637270083,0.6064665691605008,1.083139882138106,0.6397112819467791,1.8339398372151172,430.7785596184135,61.140632888142584,1.6918028806151264,0.6387577381893879,0.0,0.34210481120388964,0.504832164448977,bootstrap n=1000
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,4,0.07678177184741797,0.2795467837920751,0.7835734734979971,-0.4711299243850492,0.6246934680798851,1.079806406521394,0.6242964618081241,1.8676733681745696,430.7785596184135,61.140632888142584,1.6918028806151264,0.6387577381893879,0.0,0.34210481120388964,0.504832164448977,"phi=1.0, bootstrap n=1000"
forward,IL1B,Interleukin-1 beta measurement,VOM,Vertebral osteomyelitis (M46.2),Wald ratio,1,-0.00515112285336856,0.2882449518777127,0.9857420481517659,-0.5701112285336855,0.5598089828269482,0.9948621214292227,0.565462539632379,1.7503381237210058,94.13330098268085,94.13330098268085,,,,,,single IV
forward,CXCL10,C-X-C motif chemokine 10 (IP-10) measurement,VOM,Vertebral osteomyelitis (M46.2),Wald ratio,1,-0.6271102449888641,0.9071464365256124,0.4893770917867045,-2.4051172605790647,1.1508967706013362,0.534133086729251,0.0902549116460525,3.161026354529655,31.03589792020191,31.03589792020191,,,,,,single IV
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),3,-0.3918585607060775,0.32723419143193605,0.23111694573347807,-1.0332375759126722,0.24952045450051719,0.6757996918324792,0.35585299247059343,1.2834098156940874,528.4267457775946,49.72808258864325,0.012619552954735443,0.9937100883593765,0.0,0.004917397553951671,0.9828690123733872,"Q=0.013, df=2"
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),3,-0.3918585607060775,0.32723419143193605,0.23111694573347807,-1.0332375759126722,0.24952045450051719,0.6757996918324792,0.35585299247059343,1.2834098156940874,528.4267457775946,49.72808258864325,0.012619552954735443,0.9937100883593765,0.0,0.004917397553951671,0.9828690123733872,"Q=0.013, df=2"
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,3,-0.4051578797271613,0.5926427065133233,0.4941986617950789,-1.566737584493275,0.7564218250389523,0.6668715170536504,0.20872502054037737,2.130638766287282,528.4267457775946,49.72808258864325,0.012619552954735443,0.9937100883593765,0.0,0.004917397553951671,0.9828690123733872,dispersion-adjusted
