method	nsnp	b	se	pval	lo95	hi95	note	OR	OR_lo95	OR_hi95	target	outcome	nsnp_cis	F_min
IVW (random effects)	2	0.05508980213789188	0.0834552845311341	0.5091822095079959	-0.10848255554313094	0.2186621598189147	Q=1.125, df=1	1.056635498541785	0.8971945457520161	1.2444107936956188	IL6R	DISCITIS	2	191.57447706059216
IVW (fixed effects)	2	0.05508980213789188	0.07866913433373368	0.4837573743181133	-0.09910170115622613	0.2092813054320099	Q=1.125, df=1	1.056635498541785	0.9056505976268454	1.232791740770946	IL6R	DISCITIS	2	191.57447706059216
IVW (random effects)	2	0.004811704889011812	0.038026320945063495	0.8993075221658176	-0.06971988416331264	0.07934329394133625	Q=0.036, df=1	1.004823299730507	0.9326550347644346	1.0825759000339519	IL6R	OM	2	191.57447706059216
IVW (fixed effects)	2	0.004811704889011812	0.038026320945063495	0.8993075221658176	-0.06971988416331264	0.07934329394133625	Q=0.036, df=1	1.004823299730507	0.9326550347644346	1.0825759000339519	IL6R	OM	2	191.57447706059216
IVW (random effects)	3	0.04667094094488562	0.16760764637747186	0.7806642318607855	-0.2818400459549592	0.3751819278447304	Q=2.435, df=2	1.0477771717807327	0.7543943433096703	1.4552561421502885	CD40	DISCITIS	3	19.86036014872368
IVW (fixed effects)	3	0.04667094094488562	0.15191010586231124	0.7586703208245509	-0.2510728665452444	0.3444147484350156	Q=2.435, df=2	1.0477771717807327	0.7779656818220366	1.4111637921272298	CD40	DISCITIS	3	19.86036014872368
MR-Egger	3	0.729833680696206	1.0298103671650682	0.4785064014909155	-1.2885946389473275	2.7482620003397393	dispersion-adjusted	2.074735510411102	0.27565790988999317	15.61546860700867	CD40	DISCITIS	3	19.86036014872368
Weighted median	3	0.06826682525652267	0.15383343315655643	0.6572081158049372	-0.2332467037303279	0.36978035424337324	bootstrap n=1000	1.0706509470828844	0.7919581703870655	1.4474166608183767	CD40	DISCITIS	3	19.86036014872368
Weighted mode	3	0.08911511101559055	0.14934157686341956	0.5506943137971969	-0.2035943796367118	0.3818246016678929	phi=1.0, bootstrap n=1000	1.093206489193038	0.8157932064227598	1.4649551119140403	CD40	DISCITIS	3	19.86036014872368
IVW (random effects)	3	0.10522240395549999	0.09864373006763077	0.2861112785839519	-0.08811930697705632	0.2985641148880563	Q=3.577, df=2	1.1109576642607286	0.9156516265786991	1.347921956291718	CD40	OM	3	19.86036014872368
IVW (fixed effects)	3	0.10522240395549999	0.07375846244512053	0.15370077110969368	-0.039344182436936256	0.24978899034793622	Q=3.577, df=2	1.1109576642607286	0.9614197484022724	1.2837545035149776	CD40	OM	3	19.86036014872368
MR-Egger	3	-0.29225039666455965	0.6075589001469713	0.630499459846098	-1.4830658409526234	0.8985650476235042	dispersion-adjusted	0.7465815710314271	0.22694085617058918	2.4560762288865865	CD40	OM	3	19.86036014872368
Weighted median	3	0.11192438324410818	0.07547174830044992	0.13807518343833694	-0.03600024342477366	0.25984900991299004	bootstrap n=1000	1.1184282855287881	0.9646400586658065	1.2967342778621065	CD40	OM	3	19.86036014872368
Weighted mode	3	0.10529701569218797	0.07300927462048443	0.14923421850859098	-0.037801162563961516	0.24839519394833745	phi=1.0, bootstrap n=1000	1.1110405578338243	0.9629043832963351	1.2819664574855338	CD40	OM	3	19.86036014872368
