exposure	n_outcomes	pooled_OR	OR_lo95	OR_hi95	pval	I2_pct	tau2	note
CCL2	5	0.841	0.643	1.101	0.2077	29.3	0.0279	meta across all 5 spinal/OM phenotypes
CD40	5	1.116	0.993	1.254	0.0667	0.0	0.0	meta across all 5 spinal/OM phenotypes
CRP	5	1.034	0.867	1.234	0.7086	0.0	0.0	meta across all 5 spinal/OM phenotypes
EOS	5	0.931	0.597	1.452	0.7516	0.0	0.0	meta across all 5 spinal/OM phenotypes
IL6R	5	1.021	0.925	1.128	0.6797	0.0	0.0	meta across all 5 spinal/OM phenotypes
LYMPH	5	1.141	0.703	1.851	0.5934	18.5	0.0613	meta across all 5 spinal/OM phenotypes
MONO	5	0.857	0.541	1.357	0.5108	42.4	0.107	meta across all 5 spinal/OM phenotypes
NEUT	5	0.936	0.52	1.686	0.8266	60.1	0.2404	meta across all 5 spinal/OM phenotypes
WBC	5	0.818	0.374	1.789	0.6147	77.1	0.5409	meta across all 5 spinal/OM phenotypes
CCL2	4	0.882	0.74	1.052	0.1618	0.0		meta EXCLUDING SPONDINF
CD40	4	1.121	0.996	1.262	0.0577	0.0		meta EXCLUDING SPONDINF
CRP	4	1.044	0.874	1.247	0.6359	0.0		meta EXCLUDING SPONDINF
EOS	4	0.966	0.615	1.516	0.88	0.0		meta EXCLUDING SPONDINF
IL6R	4	1.036	0.937	1.145	0.494	0.0		meta EXCLUDING SPONDINF
LYMPH	4	1.17	0.665	2.06	0.5862	35.3		meta EXCLUDING SPONDINF
MONO	4	0.918	0.582	1.449	0.713	44.2		meta EXCLUDING SPONDINF
NEUT	4	1.072	0.775	1.481	0.6744	2.8		meta EXCLUDING SPONDINF
WBC	4	1.113	0.775	1.599	0.5614	13.9		meta EXCLUDING SPONDINF
