pair	nsnp	sum_R2_exposure	sum_R2_outcome	steiger_stat	pval	directionality
CCL2->DISCINF	7	749.14	9.92	18.972	0.0	exposure->outcome
CCL2->DISCITIS	7	749.14	7.75	19.055	0.0	exposure->outcome
CCL2->OM	7	749.14	7.72	19.056	0.0	exposure->outcome
CCL2->SPONDINF	7	749.14	11.88	18.898	0.0	exposure->outcome
CCL2->VOM	7	749.14	5.44	19.144	0.0	exposure->outcome
CD40->DISCINF	3	1585.28	1.36	28.118	0.0	exposure->outcome
CD40->DISCITIS	3	1585.28	1.85	28.105	0.0	exposure->outcome
CD40->OM	3	1585.28	4.72	28.028	0.0	exposure->outcome
CD40->SPONDINF	3	1585.28	0.42	28.143	0.0	exposure->outcome
CD40->VOM	3	1585.28	1.45	28.115	0.0	exposure->outcome
CRP->DISCINF	13	1198.07	26.81	23.664	0.0	exposure->outcome
CRP->DISCITIS	13	1198.07	32.81	23.485	0.0	exposure->outcome
CRP->OM	13	1198.07	10.92	24.142	0.0	exposure->outcome
CRP->SPONDINF	13	1198.07	21.98	23.809	0.0	exposure->outcome
CRP->VOM	13	1198.07	7.61	24.243	0.0	exposure->outcome
EOS->DISCINF	13	1202.27	9.16	24.239	0.0	exposure->outcome
EOS->DISCITIS	13	1202.27	14.73	24.071	0.0	exposure->outcome
EOS->OM	13	1202.27	17.98	23.973	0.0	exposure->outcome
EOS->SPONDINF	13	1202.27	11.15	24.179	0.0	exposure->outcome
EOS->VOM	13	1202.27	12.76	24.13	0.0	exposure->outcome
IL6R->DISCINF	4	1723.11	6.6	29.184	0.0	exposure->outcome
IL6R->DISCITIS	4	1723.11	2.34	29.292	0.0	exposure->outcome
IL6R->OM	4	1723.11	2.34	29.293	0.0	exposure->outcome
IL6R->SPONDINF	4	1723.11	3.49	29.263	0.0	exposure->outcome
IL6R->VOM	4	1723.11	1.91	29.304	0.0	exposure->outcome
LYMPH->DISCINF	18	1827.42	16.49	29.821	0.0	exposure->outcome
LYMPH->DISCITIS	18	1827.42	21.54	29.697	0.0	exposure->outcome
LYMPH->OM	18	1827.42	24.25	29.631	0.0	exposure->outcome
LYMPH->SPONDINF	18	1827.42	16.24	29.827	0.0	exposure->outcome
LYMPH->VOM	18	1827.42	22.38	29.676	0.0	exposure->outcome
MONO->DISCINF	39	3112.42	33.64	38.813	0.0	exposure->outcome
MONO->DISCITIS	39	3112.42	45.35	38.594	0.0	exposure->outcome
MONO->OM	39	3112.42	50.05	38.506	0.0	exposure->outcome
MONO->SPONDINF	39	3112.42	40.71	38.681	0.0	exposure->outcome
MONO->VOM	39	3112.42	47.7	38.55	0.0	exposure->outcome
NEUT->DISCINF	29	3275.52	39.42	39.744	0.0	exposure->outcome
NEUT->DISCITIS	29	3275.52	22.64	40.051	0.0	exposure->outcome
NEUT->OM	29	3275.52	53.63	39.485	0.0	exposure->outcome
NEUT->SPONDINF	29	3275.52	29.74	39.921	0.0	exposure->outcome
NEUT->VOM	29	3275.52	24.15	40.024	0.0	exposure->outcome
WBC->DISCINF	28	3252.07	30.39	39.762	0.0	exposure->outcome
WBC->DISCITIS	28	3252.07	27.79	39.81	0.0	exposure->outcome
WBC->OM	28	3252.07	53.43	39.34	0.0	exposure->outcome
WBC->SPONDINF	28	3252.07	30.12	39.767	0.0	exposure->outcome
WBC->VOM	28	3252.07	34.51	39.686	0.0	exposure->outcome
