excluded_SNP,nsnp,b,se,pval,lo95,hi95,OR,exposure,outcome,direction
rs6502555,17,-0.6191404366609408,1.2178042610924737,0.6111678147765526,-3.0060367884021897,1.767755915080308,0.5384070336985252,LYMPH,SPONDINF,forward
rs34557412,17,-0.49513077212619855,1.192456586025952,0.6779815045305234,-2.832345680737064,1.842084136484667,0.6094911976247086,LYMPH,SPONDINF,forward
rs3818717,17,-0.49290151175505575,1.211342427366292,0.6840776293019515,-2.8671326693929884,1.8813296458828768,0.6108514277884167,LYMPH,SPONDINF,forward
rs10648808,17,-0.5074647729276632,1.2005460797853638,0.6725178358431717,-2.860535089306976,1.8456055434516494,0.6020199028978834,LYMPH,SPONDINF,forward
rs112401631,17,-0.5596469340203127,1.1942982732383358,0.6393563176708741,-2.9004715495674507,1.7811776815268254,0.5714107739429396,LYMPH,SPONDINF,forward
rs2034310,17,-0.20187450753780337,1.2044867424770576,0.8668963189613414,-2.562668522792836,2.158919507717229,0.8171974736308134,LYMPH,SPONDINF,forward
rs36084354,17,-0.5195535233695942,1.2228973581728473,0.6709426988258045,-2.9164323453883747,1.8773252986491866,0.5947860467662526,LYMPH,SPONDINF,forward
rs62111672,17,-0.3299229888848664,1.199863179936458,0.7833414571976647,-2.681654821560324,2.0218088437905917,0.7189791006822532,LYMPH,SPONDINF,forward
rs5498,17,-0.6005435493226137,1.2400637888575594,0.6281840448441998,-3.03106857548343,1.8299814768382028,0.5485134109583627,LYMPH,SPONDINF,forward
rs10422126,17,-0.2755371220628403,1.2292637480359256,0.8226420733829338,-2.6848940682132545,2.133819824087574,0.759164249827972,LYMPH,SPONDINF,forward
rs7251806,17,-1.9031777954839189,1.516851653143825,0.20959151010382815,-4.876207035645816,1.069851444677978,0.14909407514129666,LYMPH,SPONDINF,forward
rs12981683,17,-0.5302725486294586,1.2056467804187656,0.6600644881640969,-2.8933402382502393,1.832795140991322,0.5884445680601904,LYMPH,SPONDINF,forward
rs61387190,17,0.011182330091114736,1.2117370568842873,0.9926369488784738,-2.3638223014020885,2.386186961584318,1.0112450860453708,LYMPH,SPONDINF,forward
rs3745621,17,-0.3019825044550294,1.215711430096624,0.8038250702610129,-2.6847769074444128,2.0808118985343538,0.7393510001250487,LYMPH,SPONDINF,forward
rs2326837,17,-0.2886533244364519,1.2072101566831122,0.811022019521085,-2.6547852315353517,2.077478582662448,0.7492719146459048,LYMPH,SPONDINF,forward
rs6911302,17,-0.8423170349840977,1.2193172055762216,0.4896846843579772,-3.232178757913492,1.5475446879452965,0.4307113930003684,LYMPH,SPONDINF,forward
rs34493019,17,-0.3327187122286779,1.20833372157017,0.7830447970116301,-2.701052806506211,2.0356153820488547,0.7169718412052581,LYMPH,SPONDINF,forward
rs13195636,17,0.028290534536820556,1.2244594711312013,0.9815669092031802,-2.371650028880334,2.4282310979539754,1.0286945122930733,LYMPH,SPONDINF,forward
ALL (none excluded),18,-0.4577340450643161,1.1895531961994077,0.700389351864501,-2.789258309615155,1.8737902194865228,0.6327157277033814,LYMPH,SPONDINF,forward
